types,male,female
fashion,24.8,54
jewellery,2.6,6.3
hlthbty,14.7,35.6
housestuff,14.5,12.3
technology,46.6,16.1
momchild,3,5.3
finance,10.4,5
entertainment,12.2,12
downloads,26.1,17.8
travel,27.9,27
