types,male,female
social,76.2,79.6
email,46.2,44.2
game,38.1,52.6
reading,58.4,56.8
entertainment,40.3,48.1
downloads,32.6,40.2
ticketing,23.4,23.8
buysell,25.5,32.7
banking,34.9,32.7
stock,27.1,21.5
searches,54.8,57.5
others,4.9,5.8
