types,male,female
Social,66.5,54.3
Email,83.1,82.2
Gaming,36,25.8
Reading,68.5,60.3
Entertainment,59.9,51.6
Downloads,66,49.1
Ticketing,37.5,37.1
Buy-sell,49.1,45.1
Banking,45.2,36.8
Stocks,32.3,24.2
Searches,75.9,71.3
Others,7.2,6.5
