types,2556,2557,2558
Social,33.2,69.15,66.1
Email,54.3,63.925,51.25
Gaming,13.25,38.125,22.975
Reading,31.8,61,49.95
Entertainment,21,49.975,39.8
Downloads,16.65,46.975,30.85
Ticketing,7.3,30.45,16.875
Buy-sell,10.1,38.1,26.725
Banking,12.85,37.4,22.85
Stocks,7.6,26.275,12.45
Searches,52.35,64.875,63.15
Others,2.05,6.1,0
