types,male,female
social,55.2,41.9
email,65.9,58.8
game,23.3,12.9
reading,51.2,41
entertainment,42.5,36.1
downloads,42.8,26.8
ticketing,18.9,18.4
buysell,30.2,24.2
banking,24.5,15.7
stock,15.5,7.5
searches,72.4,64.3
