types,male,female
social,32.6,33.8
email,51.6,57
game,14.4,12.1
reading,35.1,28.5
entertainment,19.4,22.6
downloads,21,12.3
ticketing,9,5.6
buysell,8.8,11.4
banking,13.4,12.3
stock,7.2,8
searches,49,55.7
others,1.7,2.4
